template,r2_01,r2_02,r2_03,r2_04,r2_05,r2_06,r2_07,r2_08,r2_09,r2_10,r2_11,r2_12,r2_13,r2_14,r2_15,fake_01,fake_02,fake_03,fake_04,fake_05,fake_06,fake_07,fake_08,fake_09,fake_10,fake_11,fake_12,fake_13,fake_14,fake_15,r1_01
r2_01,0.000000000,0.018559355,0.020653029,0.021284188,0.023892605,0.021840331,0.030830583,0.024620314,0.022170046,0.026884713,0.016286398,0.018918558,0.017577866,0.031218972,0.025626194,0.017603658,0.014176385,0.014170699,0.020106783,0.016950232,0.019445210,0.026404883,0.019890068,0.018619649,0.014138841,0.017473517,0.018218295,0.017549572,0.021026632,0.023124595,0.031816263
r2_02,0.018559355,0.000000000,0.023334895,0.018181330,0.031216775,0.032173826,0.036938544,0.030206393,0.037428391,0.022816251,0.013356571,0.018003781,0.017606011,0.021174100,0.017240373,0.019294086,0.010924109,0.014281867,0.019049797,0.019669783,0.019252371,0.028068839,0.023497230,0.017810560,0.012801105,0.013911079,0.014150948,0.014681890,0.014865657,0.026071736,0.039408888
r2_03,0.020653029,0.023334895,0.000000000,0.016353088,0.026196841,0.022951476,0.022992759,0.016890699,0.027873259,0.031679513,0.018116717,0.017694134,0.014376868,0.043632048,0.023252240,0.019605147,0.017524088,0.011022966,0.017710730,0.015993329,0.017443304,0.025638274,0.020266528,0.016235565,0.016271094,0.012367155,0.021513918,0.018132267,0.024050198,0.028124887,0.048504571
r2_04,0.021284188,0.018181330,0.016353088,0.000000000,0.032224271,0.029355753,0.033744415,0.026528870,0.035970811,0.021996605,0.017484963,0.017950940,0.012332939,0.031790789,0.019774164,0.018901175,0.014105365,0.013595415,0.017552732,0.020342422,0.020962784,0.030292063,0.025031515,0.017883971,0.014221920,0.015655856,0.019210521,0.014204970,0.019652338,0.031366688,0.036411092
r2_05,0.023892605,0.031216775,0.026196841,0.032224271,0.000000000,0.023372317,0.014356188,0.015104916,0.027023952,0.036106429,0.023394328,0.019046169,0.023255587,0.049003560,0.031962257,0.017673007,0.021580550,0.021463592,0.016793843,0.015382318,0.019675110,0.019713125,0.013422023,0.019036913,0.022347752,0.022989129,0.024002009,0.024592929,0.025353916,0.015242036,0.047620418
r2_06,0.021840331,0.032173826,0.022951476,0.029355753,0.023372317,0.000000000,0.018443562,0.019440939,0.013603726,0.032429263,0.027027180,0.020739549,0.022858823,0.050957993,0.028873856,0.022657675,0.024521099,0.022612079,0.022945252,0.019865921,0.016715938,0.019733736,0.021731092,0.016354583,0.024921443,0.027732161,0.025553109,0.026555195,0.027167728,0.024027305,0.036517629
r2_07,0.030830583,0.036938544,0.022992759,0.033744415,0.014356188,0.018443562,0.000000000,0.011948425,0.027241364,0.038376007,0.027859829,0.020971135,0.025712502,0.060583125,0.034070227,0.021167214,0.027256549,0.026191811,0.021126934,0.018381309,0.021322046,0.019465626,0.016774278,0.021031607,0.027104137,0.028706962,0.028095388,0.028540398,0.027924633,0.016948165,0.045669744
r2_08,0.024620314,0.030206393,0.016890699,0.026528870,0.015104916,0.019440939,0.011948425,0.000000000,0.026862193,0.033712044,0.021551416,0.016902414,0.020684970,0.050848071,0.027058268,0.017828860,0.021366880,0.019519549,0.018478584,0.013274412,0.017558307,0.018454070,0.012950644,0.016677319,0.020926517,0.019923999,0.023178905,0.022992391,0.024881394,0.019154557,0.045372493
r2_09,0.022170046,0.037428391,0.027873259,0.035970811,0.027023952,0.013603726,0.027241364,0.026862193,0.000000000,0.040987844,0.030189802,0.025937956,0.028099665,0.053336980,0.038311072,0.026592015,0.029605969,0.025573892,0.026841881,0.023214295,0.020253219,0.025760253,0.027417215,0.020690471,0.027614207,0.031459344,0.028249340,0.028949033,0.032412432,0.029511945,0.039273170
r2_10,0.026884713,0.022816251,0.031679513,0.021996605,0.036106429,0.032429263,0.038376007,0.033712044,0.040987844,0.000000000,0.021088881,0.021082290,0.022629394,0.021672679,0.021861419,0.022886368,0.018712324,0.021705978,0.025574295,0.026093768,0.027266622,0.029703296,0.026791002,0.024819426,0.018470340,0.023671257,0.019175358,0.021021549,0.021451252,0.032499508,0.026353291
r2_11,0.016286398,0.013356571,0.018116717,0.017484963,0.023394328,0.027027180,0.027859829,0.021551416,0.030189802,0.021088881,0.000000000,0.013279119,0.014565712,0.023492889,0.013445304,0.015054469,0.009059651,0.011158709,0.014531566,0.013064123,0.012250861,0.022546528,0.013332685,0.013816210,0.009085299,0.007864486,0.010776005,0.008989732,0.012182456,0.018882339,0.038365070
r2_12,0.018918558,0.018003781,0.017694134,0.017950940,0.019046169,0.020739549,0.020971135,0.016902414,0.025937956,0.021082290,0.013279119,0.000000000,0.012869444,0.027053687,0.016580457,0.011090151,0.012259026,0.008517253,0.014535935,0.012752116,0.012299511,0.018289457,0.013339497,0.009812063,0.011749783,0.014907799,0.010877573,0.011714324,0.011497124,0.015385992,0.033760763
r2_13,0.017577866,0.017606011,0.014376868,0.012332939,0.023255587,0.022858823,0.025712502,0.020684970,0.028099665,0.022629394,0.014565712,0.012869444,0.000000000,0.031080584,0.015469045,0.013357147,0.013542773,0.011068202,0.013356062,0.013431633,0.015191429,0.022700166,0.017728907,0.012018766,0.012113141,0.015441746,0.016767682,0.011760913,0.015413856,0.023271140,0.033499810
r2_14,0.031218972,0.021174100,0.043632048,0.031790789,0.049003560,0.050957993,0.060583125,0.050848071,0.053336980,0.021672679,0.023492889,0.027053687,0.031080584,0.000000000,0.025776284,0.031956255,0.024221176,0.028748065,0.037842312,0.037320749,0.034860543,0.048099626,0.038040337,0.032997514,0.024664575,0.029448776,0.024927291,0.026160427,0.021125134,0.042907015,0.039594080
r2_15,0.025626194,0.017240373,0.023252240,0.019774164,0.031962257,0.028873856,0.034070227,0.027058268,0.038311072,0.021861419,0.013445304,0.016580457,0.015469045,0.025776284,0.000000000,0.020517219,0.014130676,0.016998989,0.021930810,0.020655840,0.017299397,0.024743887,0.020245763,0.016077142,0.015513739,0.015204953,0.015954551,0.014743365,0.014345506,0.027426498,0.034757199
